Z = 50, N = 70, A = 120
functional          Energy      radius
FyDr            -1021.4000      4.6709
FyIVP           -1017.0000      4.6503
FyIVP3FR        -1018.5000      4.6569
FyIVP3ZR        -1018.0000      4.6536
SLy4d           -1022.0000      4.6962
SV-K218         -1020.3000      4.6426
SV-K226         -1020.1000      4.6420
SV-K241         -1019.9000      4.6417
SV-bas          -1020.0000      4.6419
SV-kap00        -1019.7000      4.6397
SV-kap20        -1019.8000      4.6410
SV-kap60        -1020.1000      4.6427
SV-mas07        -1018.7000      4.6430
SV-mas08        -1019.4000      4.6429
SV-mas10        -1020.5000      4.6401
SV-min          -1020.3000      4.6397
SV-sym28        -1019.8000      4.6438
SV-sym32        -1020.1000      4.6399
SV-sym34        -1020.2000      4.6380
SVbas           -1019.9000      4.6419
SkI2            -1021.2000      4.6304
SkI3            -1022.3000      4.6290
SkI4            -1025.7000      4.6319
SkMs            -1006.6000      4.6555
SkO4            -1022.9000      4.6471
SkO4p           -1027.7000      4.6128
SkP             -1006.7000      4.6877
SkT6            -1009.8000      4.6404
Sly4            -1006.2000      4.6721
Sly5            -1007.4000      4.6633
Sly6            -1017.0000      4.6609
T12             -1003.9000      4.6632
T14             -1008.1000      4.6559
T21             -1002.3000      4.6643
T22             -1004.4000      4.6611
T24             -1008.7000      4.6531
T26             -1015.2000      4.6321
T42             -1006.0000      4.6510
T44             -1013.4000      4.6294
T46             -1023.7000      4.5818
TOV             -1019.9000      4.6354
UNEDF0          -1008.8000      4.6719
UNEDF1          -1023.1000      4.6437
UNEDF1-HFB      -1023.3000      4.6514
fyivp           -1017.0000      4.6503
fyivpFR         -1017.0000      4.6503
fyivpZR         -1017.0000      4.6503
