Z = 82, N = 126, A = 208
functional          Energy      radius
FyDr            -1636.7000      5.4880
FyIVP           -1637.0000      5.4886
FyIVP3FR        -1636.5000      5.4982
FyIVP3ZR        -1636.6000      5.4942
SLy4d           -1642.9000      5.5538
SV-K218         -1637.3000      5.4917
SV-K226         -1637.2000      5.4912
SV-K241         -1637.1000      5.4904
SV-bas          -1637.2000      5.4906
SV-kap00        -1637.2000      5.4919
SV-kap20        -1637.2000      5.4911
SV-kap60        -1637.2000      5.4903
SV-mas07        -1637.9000      5.4936
SV-mas08        -1637.5000      5.4918
SV-mas10        -1636.9000      5.4902
SV-min          -1637.1000      5.4925
SV-sym28        -1637.3000      5.4893
SV-sym32        -1637.0000      5.4919
SV-sym34        -1636.9000      5.4928
SVbas           -1637.0000      5.4906
SkI2            -1639.4000      5.4876
SkI3            -1642.1000      5.4758
SkI4            -1644.1000      5.4739
SkMs            -1624.4000      5.5065
SkO4            -1635.7000      5.4905
SkO4p           -1652.4000      5.4676
SkP             -1623.5000      5.5232
SkT6            -1626.3000      5.4863
Sly4            -1623.8000      5.5122
Sly5            -1627.5000      5.5014
Sly6            -1637.6000      5.5041
T12             -1618.1000      5.5026
T14             -1629.9000      5.4920
T21             -1617.7000      5.5018
T22             -1623.5000      5.4971
T24             -1635.5000      5.4884
T26             -1646.7000      5.4795
T42             -1634.5000      5.4888
T44             -1646.1000      5.4807
T46             -1658.3000      5.4746
TOV             -1637.0000      5.4956
UNEDF0          -1629.0000      5.5061
UNEDF1          -1639.5000      5.5104
UNEDF1-HFB      -1639.5000      5.5104
fyivp           -1637.0000      5.4886
fyivpFR         -1637.0000      5.4886
fyivpZR         -1637.0000      5.4886
