Z = 20, N = 28, A = 48
functional          Energy      radius
FyDr             -415.6200      3.4817
FyIVP            -415.9900      3.4807
FyIVP3FR         -415.0500      3.4791
FyIVP3ZR         -415.4100      3.4820
SLy4d            -421.7700      3.5214
SV-K218          -415.1800      3.5011
SV-K226          -415.1900      3.4982
SV-K241          -415.2700      3.4928
SV-bas           -415.2200      3.4955
SV-kap00         -414.9200      3.4971
SV-kap20         -415.0800      3.4962
SV-kap60         -415.3700      3.4947
SV-mas07         -415.5500      3.4900
SV-mas08         -415.3900      3.4927
SV-mas10         -415.0600      3.4977
SV-min           -414.8200      3.5014
SV-sym28         -415.3700      3.4972
SV-sym32         -415.0900      3.4940
SV-sym34         -414.9600      3.4930
SVbas            -415.2000      3.4955
SkI2             -419.4800      3.4729
SkI3             -417.6500      3.4636
SkI4             -414.3900      3.4523
SkMs             -410.8200      3.5180
SkO4             -415.3000      3.4603
SkO4p            -423.6600      3.4515
SkP              -407.4900      3.5490
SkT6             -408.4400      3.5088
Sly4             -408.6600      3.5244
Sly5             -409.6600      3.5177
Sly6             -416.2700      3.5061
T12              -406.1400      3.5200
T14              -410.4000      3.5115
T21              -405.1500      3.5215
T22              -407.3000      3.5176
T24              -411.5500      3.5098
T26              -416.1700      3.5019
T42              -409.2600      3.5148
T44              -414.0000      3.5069
T46              -418.4400      3.5008
TOV              -414.4400      3.5015
UNEDF0           -405.1900      3.5083
UNEDF1           -413.1500      3.5074
UNEDF1-HFB       -413.4500      3.5127
fyivp            -415.9900      3.4807
fyivpFR          -415.9900      3.4807
fyivpZR          -415.9900      3.4807
